"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9644","SG","James","Harden","48.4","20","10800","SAC@HOU","HOU","SAC","","","",""
"12362","C","DeMarcus","Cousins","45.3","12","10300","SAC@HOU","SAC","HOU","","","",""
"9488","SF","LeBron","James","45.5","19","10000","CLE@MIA","CLE","MIA","","","",""
"12341","SF","Paul","George","42.7","18","9700","IND@UTA","IND","UTA","","","",""
"20848","PG","Damian","Lillard","39.6","20","9500","POR@MIN","POR","MIN","","","",""
"9560","PF","Blake","Griffin","42.3","19","9100","ORL@LAC","LAC","ORL","","","",""
"14513","SF","Kawhi","Leonard","39.6","19","8900","BOS@SA","SA","BOS","","","",""
"9623","PG","Chris","Paul","34.4","15","8800","ORL@LAC","LAC","ORL","O","Ribs","",""
"9508","SF","Carmelo","Anthony","36","19","8300","NY@MIL","NY","MIL","","","",""
"14528","SG","Jimmy","Butler","35.2","16","8300","CHA@CHI","CHI","CHA","","","",""
"9874","PF","Kevin","Love","36","19","8200","CLE@MIA","CLE","MIA","","","",""
"12363","C","Hassan","Whiteside","35.2","17","8100","CLE@MIA","MIA","CLE","","","",""
"9570","PF","Pau","Gasol","35","16","8100","CHA@CHI","CHI","CHA","","","",""
"9455","PG","Rajon","Rondo","36.5","20","8000","SAC@HOU","SAC","HOU","","","",""
"12351","PF","Derrick","Favors","34.1","16","7900","IND@UTA","UTA","IND","","","",""
"9718","PF","Chris","Bosh","34.1","17","7900","CLE@MIA","MIA","CLE","","","",""
"9660","C","Dwight","Howard","32.8","14","7800","SAC@HOU","HOU","SAC","","","",""
"14507","PG","Kemba","Walker","32.2","18","7700","CHA@CHI","CHA","CHI","","","",""
"14559","PG","Isaiah","Thomas","33.7","19","7600","BOS@SA","BOS","SA","","","",""
"12337","C","Greg","Monroe","33.7","20","7500","NY@MIL","MIL","NY","","","",""
"15684","SG","Victor","Oladipo","29.8","17","7400","ORL@LAC","ORL","LAC","","","",""
"49116","SF","Andrew","Wiggins","29.9","17","7400","POR@MIN","MIN","POR","","","",""
"63122","PF","Kristaps","Porzingis","30.4","20","7300","NY@MIL","NY","MIL","","","",""
"14514","C","Nikola","Vucevic","31.5","16","7300","ORL@LAC","ORL","LAC","","","",""
"9561","C","DeAndre","Jordan","32.9","19","7200","ORL@LAC","LAC","ORL","","","",""
"9585","SG","Dwyane","Wade","30.5","16","7200","CLE@MIA","MIA","CLE","","","",""
"9688","PF","LaMarcus","Aldridge","29.4","18","7200","BOS@SA","SA","BOS","","","",""
"9809","SF","Nicolas","Batum","31.5","18","7100","CHA@CHI","CHA","CHI","","","",""
"40203","C","Rudy","Gobert","29.5","14","7100","IND@UTA","UTA","IND","O","Knee","",""
"9577","SF","Rudy","Gay","29.8","18","7000","SAC@HOU","SAC","HOU","","","",""
"9710","C","Tim","Duncan","28.5","19","7000","BOS@SA","SA","BOS","","","",""
"19067","SG","C.J.","McCollum","29.6","20","6900","POR@MIN","POR","MIN","","","",""
"14496","PG","Ricky","Rubio","29.5","12","6900","POR@MIN","MIN","POR","","","",""
"9475","PG","Derrick","Rose","25.9","14","6800","CHA@CHI","CHI","CHA","","","",""
"40199","SG","Giannis","Antetokounmpo","28.8","19","6700","NY@MIL","MIL","NY","","","",""
"12366","SF","Gordon","Hayward","28.4","17","6600","IND@UTA","UTA","IND","","","",""
"14518","SF","Tobias","Harris","28.5","19","6600","ORL@LAC","ORL","LAC","","","",""
"58462","C","Karl-Anthony","Towns","30","18","6600","POR@MIN","MIN","POR","","","",""
"19138","PG","Elfrid","Payton","26.1","19","6500","ORL@LAC","ORL","LAC","","","",""
"9609","C","Al","Jefferson","26.9","17","6500","CHA@CHI","CHA","CHI","O","Calf","",""
"14519","PF","Donatas","Motiejunas","0","0","6400","SAC@HOU","HOU","SAC","O","Back","",""
"9526","SG","Monta","Ellis","25.1","18","6000","IND@UTA","IND","UTA","GTD","Back","",""
"12334","SG","Avery","Bradley","24.9","17","6000","BOS@SA","BOS","SA","","","",""
"16008","PF","Jared","Sullinger","27.7","19","5900","BOS@SA","BOS","SA","","","",""
"15590","C","Mason","Plumlee","26.1","20","5900","POR@MIN","POR","MIN","","","",""
"9703","PG","George","Hill","24.5","15","5900","IND@UTA","IND","UTA","","","",""
"9538","SF","Trevor","Ariza","23.9","20","5800","SAC@HOU","HOU","SAC","","","",""
"40783","SG","Zach","LaVine","23.9","18","5800","POR@MIN","MIN","POR","","","",""
"16261","SF","Khris","Middleton","24.4","20","5700","NY@MIL","MIL","NY","","","",""
"9484","PG","Mo","Williams","23.8","16","5700","CLE@MIA","CLE","MIA","","","",""
"9673","PG","Goran","Dragic","21.9","17","5700","CLE@MIA","MIA","CLE","","","",""
"15757","PF","Terrence","Jones","20.8","15","5600","SAC@HOU","HOU","SAC","","","",""
"23096","SG","Evan","Fournier","26","19","5600","ORL@LAC","ORL","LAC","","","",""
"14522","SF","Nikola","Mirotic","21.7","16","5600","CHA@CHI","CHI","CHA","GTD","Concussion","",""
"14510","SG","Alec","Burks","23.6","17","5600","IND@UTA","UTA","IND","","","",""
"9702","PG","Tony","Parker","23.7","20","5600","BOS@SA","SA","BOS","","","",""
"16201","PG","Michael","Carter-Williams","21.9","15","5500","NY@MIL","MIL","NY","","","",""
"14501","PF","Tristan","Thompson","22.6","19","5500","CLE@MIA","CLE","MIA","","","",""
"9506","SG","J.R.","Smith","20.2","16","5400","CLE@MIA","CLE","MIA","","","",""
"12342","SF","Al-Farouq","Aminu","23.5","20","5400","POR@MIN","POR","MIN","","","",""
"9953","C","Ian","Mahinmi","22.5","17","5300","IND@UTA","IND","UTA","","","",""
"23670","PG","Marcus","Smart","21.7","9","5300","BOS@SA","BOS","SA","O","Leg","",""
"9725","SF","C.J.","Miles","22.5","15","5300","IND@UTA","IND","UTA","","","",""
"15800","SF","Jae","Crowder","24.1","19","5200","BOS@SA","BOS","SA","","","",""
"9752","C","Jordan","Hill","22","16","5000","IND@UTA","IND","UTA","","","",""
"9479","SF","Luol","Deng","19","13","5000","CLE@MIA","MIA","CLE","GTD","Hamstring","",""
"9624","PG","Darren","Collison","21.1","15","5000","SAC@HOU","SAC","HOU","","","",""
"9451","PF","Marvin","Williams","23.6","18","4900","CHA@CHI","CHA","CHI","","","",""
"42550","PF","Jabari","Parker","16.5","14","4900","NY@MIL","MIL","NY","","","",""
"12359","SF","Evan","Turner","20.6","19","4900","BOS@SA","BOS","SA","","","",""
"9514","SG","Rodney","Stuckey","19.6","13","4900","IND@UTA","IND","UTA","","","",""
"9507","SG","Arron","Afflalo","20.6","12","4900","NY@MIL","NY","MIL","","","",""
"12365","PF","Ed","Davis","20.2","20","4800","POR@MIN","POR","MIN","","","",""
